id,url,skills,skill_1,skill_2,skill_3
antonio-atkinson-13b00796,https://www.linkedin.com/in/antonio-atkinson-13b00796,1: Web development 2: Machine learning 3: Mobile app development,web development,machine learning,mobile app development
hope-casey-allen-092a01157,https://www.linkedin.com/in/hope-casey-allen-092a01157,1: Communication   2: Networking   3: Data Structures  ,communication,networking,data structures
joseph-mitchell,https://www.linkedin.com/in/joseph-mitchell,1: Risk Assessment 2: Threat Mitigation 3: Server Management,risk assessment,threat mitigation,server management
jason-simon-8136706a,https://www.linkedin.com/in/jason-edward-simon,1: Data Visualization  2: Data Analysis  3: Tableau Proficiency,data visualization,data analysis,tableau proficiency
anuj-sharma-57015339,https://www.linkedin.com/in/anuj-sharma-57015339,1: Parallel programming 2: Concurrent programming 3: .NET development,parallel programming,concurrent programming,.net development
aarthi-vishwanathan-34a25612b,https://www.linkedin.com/in/aarthi-vishwanathan,1: Data analysis  2: Python programming  3: Hadoop ecosystem ,data analysis,python programming,hadoop ecosystem
nicolas-zea-a5a74870,https://www.linkedin.com/in/nicolas-zea,1: Thread synchronization   2: AutoCAD configuration   3: Parallel programming  ,thread synchronization,autocad configuration,parallel programming
chris-medaglia-16a7441a,https://www.linkedin.com/in/chris-medaglia-16a7441a,1: Package installation 2: Cloud architecture design 3: Ansible automation,package installation,cloud architecture design,ansible automation
vinothgv-7,https://www.linkedin.com/in/vinothgv-7,1: Performance Testing 2: RISC-V Architecture 3: Cypress Integration,performance testing,risc-v architecture,cypress integration
evren-s-314b1b196,https://www.linkedin.com/in/evrensen1,1: Penetration Testing  2: Network Security  3: Vulnerability Assessment,penetration testing,network security,vulnerability assessment
petrmoravsky,https://www.linkedin.com/in/petrmoravsky,1: Web development  2: Front-end design  3: API development,web development,front-end design,api development
susy-rodriguez-42742a9a,https://www.linkedin.com/in/susy-rodriguez-42742a9a,1: Cloud Security Management 2: Incident Response Planning 3: Feedback Delivery Techniques,cloud security management,incident response planning,feedback delivery techniques
waad-al-ani-12327814,https://www.linkedin.com/in/waad-al-ani-12327814,1: Wireless troubleshooting 2: Selenium testing 3: Domain management,wireless troubleshooting,selenium testing,domain management
elden-arellano-53702ab8,https://www.linkedin.com/in/elden-arellano-53702ab8,1: JavaScript 2: Module bundling 3: Task automation,javascript,module bundling,task automation
anubhavanand32,https://www.linkedin.com/in/anubhavanand32,1: Java programming  2: Database access with Hibernate  3: IDE usage,java programming,database access with hibernate,ide usage
anthony-d-simon,https://www.linkedin.com/in/anthony-d-simon,1: Threat Detection 2: Vulnerability Management 3: Incident Response,threat detection,vulnerability management,incident response
rohitrozariopeter,https://www.linkedin.com/in/rohitrozariopeter,1: Java programming 2: AI development 3: Spring framework,java programming,ai development,spring framework
michelleryan71,https://www.linkedin.com/in/michelleryan71,1: FPGA design 2: Asynchronous programming 3: Privacy risk assessment,fpga design,asynchronous programming,privacy risk assessment
vijayaraghavansubbaiah,https://www.linkedin.com/in/vijayaraghavansubbaiah,1: AWS Cloud development 2: NoSQL database management 3: Data analytics,aws cloud development,nosql database management,data analytics
mead-gyawu-13a887209,https://www.linkedin.com/in/mead-gyawu-13a887209,1: Python basics 2: Java arrays 3: Python data structures,python basics,java arrays,python data structures
franksarubbi,https://www.linkedin.com/in/franksarubbi,1: Java development 2: Web development 3: Mobile development,java development,web development,mobile development
alexarthur93,https://www.linkedin.com/in/alexarthur93,1: Data Warehousing  2: ETL  3: Data Science,data warehousing,etl,data science
péter-vajda-9a03aaa,https://www.linkedin.com/in/p%C3%A9ter-vajda-9a03aaa,1: Model optimization  2: AI fundamentals  3: Wavelet analysis,model optimization,ai fundamentals,wavelet analysis
sam-sorenson-2433a4174,https://www.linkedin.com/in/sam-sorenson-2433a4174,1: Functional programming  2: Machine learning  3: Python optimization,functional programming,machine learning,python optimization
laxmi-aishwarya-thela,https://www.linkedin.com/in/laxmi-aishwarya-thela,1: Data manipulation 2: Machine learning algorithms 3: Python optimization,data manipulation,machine learning algorithms,python optimization
joseparada89,https://www.linkedin.com/in/joseparada89,1: Troubleshooting mobile devices 2: Implementing network security measures 3: Developing web applications using C#,troubleshooting mobile devices,implementing network security measures,developing web applications using c#
danielle-biggs-crowley-06457492,https://www.linkedin.com/in/danielle-biggs-crowley-06457492,1: Campaign optimization 2: Salesforce administration 3: PPC strategy,campaign optimization,salesforce administration,ppc strategy
parthray,https://www.linkedin.com/in/parthray,1: Array Manipulation 2: Serverless Development 3: Object-Oriented Programming,array manipulation,serverless development,object-oriented programming
michelle-jones-4a173279,https://www.linkedin.com/in/michelle-jones-dev,1: Edit ebooks 2: Build web apps 3: Write correctly,edit ebooks,build web apps,write correctly
judesurin,https://www.linkedin.com/in/judesurin,1: AI fundamentals 2: Pandas analysis 3: Excel statistics,ai fundamentals,pandas analysis,excel statistics
kavana-somanahalli-umesh-a5899354,https://www.linkedin.com/in/kavana-somanahalli-umesh-a5899354,1: Angular development 2: Spring Boot development 3: Docker deployment,angular development,spring boot development,docker deployment
jeff-lambert-51762bb,https://www.linkedin.com/in/jeff-lambert-51762bb,1: Active Directory Planning 2: Windows Security Configuration 3: Security Architecture Design,active directory planning,windows security configuration,security architecture design
marco-antonio-sanchez-k,https://www.linkedin.com/in/marco-antonio-sanchez-k,1: Design patterns  2: Data structures  3: Assembly language,design patterns,data structures,assembly language
lan-zhong-76a59394,https://www.linkedin.com/in/lan-zhong-76a59394,1: Hadoop management  2: Stochastic modeling  3: Java concurrency,hadoop management,stochastic modeling,java concurrency
khandelwalvaishali,https://www.linkedin.com/in/khandelwalvaishali,1: Model building 2: Feature engineering 3: Data preprocessing,model building,feature engineering,data preprocessing
daniel-hunte,https://www.linkedin.com/in/daniel-hunte,1: Data Management  2: Big Data Processing  3: Hadoop Ecosystem,data management,big data processing,hadoop ecosystem
miguel-reche-94556a13,https://www.linkedin.com/in/miguel-reche,1: Sound Design 2: Code Optimization 3: System Optimization,sound design,code optimization,system optimization
alan-ren-6175b96,https://www.linkedin.com/in/alan-ren-6175b96,1: Change Management 2: Synthesis Techniques 3: Eurorack Expansion,change management,synthesis techniques,eurorack expansion
james-courtney-28315625,https://www.linkedin.com/in/james-courtney-28315625,1: Microservice architecture 2: Cloud-native development 3: Azure cloud computing,microservice architecture,cloud-native development,azure cloud computing
lichenzhang,https://www.linkedin.com/in/lichenzhang,1: Front-end development 2: UI development 3: Cloud security,front-end development,ui development,cloud security
xinglujiang,https://www.linkedin.com/in/xinglujiang,1: Text processing 2: Data structures 3: Machine learning,text processing,data structures,machine learning
naveen-kumar-kannegundla-b1097b9,https://www.linkedin.com/in/naveen-kumar-kannegundla,1: Query Data 2: Data Management 3: Blazor Development,query data,data management,blazor development
nick-buchanan,https://www.linkedin.com/in/nick-buchanan,1: Sheet metal design 2: Dimensioning and tolerancing 3: Advanced modeling techniques,sheet metal design,dimensioning and tolerancing,advanced modeling techniques
michaelwda,https://www.linkedin.com/in/michaelwda,1: Unit Testing 2: Web Development 3: Test-Driven Development,unit testing,web development,test-driven development
botao-wang-20276791,https://www.linkedin.com/in/botao-wang-20276791,1: App Development 2: iOS Development 3: App Design,app development,ios development,app design
adeyemi-lawal-165330122,https://www.linkedin.com/in/adeyemi-lawal-165330122,1: Web Development 2: Animation 3: Data Structures,web development,animation,data structures
byanka-hernandez-96800683,https://www.linkedin.com/in/byanka-hernandez-96800683,1: Data analysis 2: Data visualization 3: Sales forecasting,data analysis,data visualization,sales forecasting
vinodvishy,https://www.linkedin.com/in/vinodvishy,1: Mobile app development 2: API integration 3: Network programming,mobile app development,api integration,network programming
mayotim,https://www.linkedin.com/in/mayotim,1: Cloud Collaboration 2: Data Management 3: SharePoint Development,cloud collaboration,data management,sharepoint development
wenchao-li-b174a23a,https://www.linkedin.com/in/wenchao-li-b174a23a,1: Data Analysis 2: Statistical Analysis 3: Data Visualization,data analysis,statistical analysis,data visualization
rachel-rankin-0035063a,https://www.linkedin.com/in/rankinrachel,1: Install software   2: Protect data   3: Data analysis  ,install software,protect data,data analysis
varun-allampalli-b02b218,https://www.linkedin.com/in/varun-allampalli-b02b218,1: Thread Management 2: Server Administration 3: Web Development,thread management,server administration,web development
lukasz-stoklosa-88b03347,https://www.linkedin.com/in/stoklosa,1: Circuitry skills 2: No-code development 3: Industrial automation,circuitry skills,no-code development,industrial automation
andrew-schutzbach-34997392,https://www.linkedin.com/in/andrew-schutzbach-34997392,1: Creating Progressive Web Apps 2: Building Sortable Tables 3: Developing Mobile Apps with Xamarin,creating progressive web apps,building sortable tables,developing mobile apps with xamarin
sheng-han-chen-9872b569,https://www.linkedin.com/in/sheng-han-chen-9872b569,1: Deploying serverless applications 2: Building scalable machine learning models 3: Developing Java applications on AWS,deploying serverless applications,building scalable machine learning models,developing java applications on aws
mvenkatesh,https://www.linkedin.com/in/mvenkatesh,1: Digital marketing 2: Data management 3: Analytics strategy,digital marketing,data management,analytics strategy
dburgener,https://www.linkedin.com/in/dburgener,1: Data Manipulation 2: Code Optimization 3: Concurrency Management,data manipulation,code optimization,concurrency management
